PMID	assigned?	rule_based	Correct Results	Haley		Peng Yu	Karthik	Chenwei	Xiaohuan	Yi Weng
8642258		NA	N	N	B lymphocytes secrete antigen-presenting vesicles.		N		N	
9546590		NA	N	N	Evidence for HSP70-like protein in the RBC membrane of the hereditarily anemic Belgrade laboratory (b/b) rat.		N		N	
10572093		NA	N	N	Activated platelets release two types of membrane vesicles: microvesicles by surface shedding and exosomes derived from exocytosis of multivesicular bodies and alpha-granules.		N		N	
10903724		NA	N	N	Follicular dendritic cells carry MHC class II-expressing microvesicles at their surface.		N		N	
11188932		NA	N	N*	Cancer immunotherapy using dendritic cell-derived exosomes.		Y		Y	
11230160		NA	N	N	Genome alignment, evolution of prokaryotic genome organization, and prediction of gene function using genomic context.		N		N	
11231627		NA	Y	Y	Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.		Y		Y	
11404326		NA	N	N*	The Saccharomyces cerevisiae small GTPase, Gsp1p/Ran, is involved in 3' processing of 7S-to-5.8S rRNA and in degradation of the excised 5'-A0 fragment of 35S pre-rRNA, both of which are carried out by the exosome.		Y		N	
11592064		NA	N	N	Tolerosomes are produced by intestinal epithelial cells.		N		N	
12045221		No	N	N	The exosome pathway in K562 cells is regulated by Rab11.		N		N	
12096030		NA	Y	Y	Exosomes bearing HLA-DR1 molecules need dendritic cells to efficiently stimulate specific T cells.		Y		N	
12147373		NA	Y	Y	Malignant effusions and immunogenic tumour-derived exosomes.		N		Y	
12175670		NA	N	N	Fractionation analysis of the endosomal compartment during rat reticulocyte maturation.		N		N	
12426563		NA	Y	Y	Indirect activation of naïve CD4+ T cells by dendritic cell-derived exosomes.		Y		Y	
12645951		Yes	N	N	Antigen-presenting cell exosomes are protected from complement-mediated lysis by expression of CD55 and CD59.		N		N	
12766069		NA	Y	Y	Hr44 secreted with exosomes: loss from ciliary epithelium in response to inflammation.		Y		Y	
12881314		NA	N	N	Lipid raft-associated protein sorting in exosomes.		N		N	
12928401		Yes	N	N	Spontaneous membrane transfer through homotypic synapses between lymphoma cells.		N		N	
12973033		NA	N	N*	Exosomes as a tumor vaccine: enhancing potency through direct loading of antigenic peptides.		Y		Y	
14602237		NA	N	N	Exosomes bearing HLA-G are released by melanoma cells.		N		N	
14633944		NA	Y	Y	Intestinal epithelial exosomes carry MHC class II/peptides able to inform the immune system in mice.		Y		Y	
14731398		NA	Y*	Y*	Facilitation of mRNA deadenylation and decay by the exosome-bound, DExH protein RHAU.		Y		Y	
14764678		Yes	N	N	Exosomes as potent cell-free peptide-based vaccine. I. Dendritic cell-derived exosomes transfer functional MHC class I/peptide complexes to dendritic cells.		Y		Y	
14764679		NA	N	N*	Exosomes as potent cell-free peptide-based vaccine. II. Exosomes in CpG adjuvants efficiently prime naive Tc1 lymphocytes leading to tumor rejection.		Y		Y	
14975938		NA	N	N	Proteomic analysis of exosomes isolated from human malignant pleural effusions.		N		N	
15213158		Yes	Y	Y	Toxoplasma gondii antigen-pulsed-dendritic cell-derived exosomes induce a protective immune response against T. gondii infection.		Y		Y	
15220333		Yes	N	N	Regulation of unsaturated fatty acid biosynthesis in Saccharomyces: the endoplasmic reticulum membrane protein, Mga2p, a transcription activator of the OLE1 gene, regulates the stability of the OLE1 mRNA through exosome-mediated mechanisms.		Y		N	
15284116		NA	N	N	Endocytosis, intracellular sorting, and processing of exosomes by dendritic cells.		N		N	
15326289		NA	N	N	Identification and proteomic profiling of exosomes in human urine.		N		N	
15368299		NA	N	N	Association of hepatitis C virus envelope proteins with exosomes.		N		N	
15499615		Yes	Y	Y	Microvesicles derived from activated platelets induce metastasis and angiogenesis in lung cancer.		Y		Y	
15611230		Yes	N	N	Peptide-specific intercellular transfer of MHC class II to CD4+ T cells directly from the immunological synapse upon cellular dissociation.		N		N	
