11404326	T Nishimoto	Department of Molecular Biology, Graduate School of Medical Science, Kyushu University, 3-1-1 Maedashi, Higashiku, Fukuoka 812-8582, Japan.			The Saccharomyces cerevisiae small GTPase, Gsp1p/Ran, is involved in 3' processing of 7S-to-5.8S rRNA and in degradation of the excised 5'-A0 fragment of 35S pre-rRNA, both of which are carried out by the exosome.	Genetics	2001	Dis3p, a subunit of the exosome, interacts directly with Ran. To clarify the relationship between the exosome and the RanGTPase cycle, a series of temperature-sensitive Saccharomyces cerevisiae dis3 mutants were isolated and their 5.8S rRNA processing was compared with processing in strains with mutations in a S. cerevisiae Ran homologue, Gsp1p. In both dis3 and gsp1 mutants, 3' processing of 7S-to-5.8S rRNA was blocked at three identical sites in an allele-specific manner. In contrast, the 5' end of 5.8S rRNA was terminated normally in gsp1 and in dis3. Inhibition of 5.8S rRNA maturation in gsp1 was rescued by overexpression of nuclear exosome components Dis3p, Rrp4p, and Mtr4p, but not by a cytoplasmic exosome component, Ski2p. Furthermore, gsp1 and dis3 accumulated the 5'-A0 fragment of 35S pre-rRNA, which is also degraded by the exosome, and the level of 27S rRNA was reduced. Neither 5.8S rRNA intermediates nor 5'-A0 fragments were observed in mutants defective in the nucleocytoplasmic transport, indicating that Gsp1p regulates rRNA processing through Dis3p, independent of nucleocytoplasmic transport.	PMC1461697
15611230	David C Parker	Department of Molecular Microbiology and Immunology, Oregon Health & Science University, 3181 SW Sam Jackson Park Road, Portland, OR 97239, USA.			Peptide-specific intercellular transfer of MHC class II to CD4+ T cells directly from the immunological synapse upon cellular dissociation.	J Immunol	2005	The transfer of membrane proteins from APC to T cells was initially described in the 1970s, and subsequent work has described two mechanisms of transfer: APC-derived exosomes and direct transfer of small packets, while cells remain conjugated. Using fibroblast APC expressing a GFP-tagged I-E(k) molecule with covalently attached antigenic peptide, we observed a third mechanism in live cell imaging: T cells spontaneously dissociating from APC often capture MHC:peptide complexes directly from the immunological synapse. Using two I-E(k)-restricted murine TCR transgenic T cells with different peptide specificity, we show in this study that the MHC transfer is peptide specific. Using blocking Abs, we found that MHC:peptide transfer in this system requires direct TCR-MHC:peptide interactions and is augmented by costimulation through CD28-CD80 interactions. Capture of the GFP-tagged MHC:peptide complexes correlates with an activated phenotype of the T cell, elevated CD69 with down-modulated TCR. The transferred MHC:peptide molecules transferred to the T cell are associated with molecules that imply continued TCR signaling; p56(lck), phosphotyrosine, and polarization of the actin cytoskeleton.	
16652390	David Tollervey	Wellcome Trust Centre for Cell Biology, University of Edinburgh, EH9 3JR, UK.			Microarray detection of novel nuclear RNA substrates for the exosome.	Yeast	2006	Microarray analyses were performed on yeast strains mutant for the nuclear-specific exosome components Rrp6p and Rrp47p/Lrp1p or the core component Rrp41p/Ski6p, at permissive temperature and following transfer to 37 degrees C. 339 mRNAs showed clearly altered expression levels, with an unexpectedly high degree of heterogeneity in the different exosome mutants. In contrast, no clear alterations were seen in strains lacking the cytoplasmic exosome component Ski7p. 27 mRNAs that were overexpressed in each strain defective in the nuclear exosome are good candidates for regulation by nuclear turnover. These included the mRNA for the autoregulated RNA-binding protein Nrd1p. Northern and primer extension analyses confirmed the elevated NRD1 mRNA levels in exosome mutants, and revealed the accumulation of truncated 5' fragments of the mRNA. These contain a predicted Nrd1p-binding site, potentially sequestering the protein and disrupting its autoregulation. Several genes located immediately downstream of independently transcribed snoRNA genes were overexpressed in exosome mutants, presumably due to stabilization of the products of transcription termination read-through. Further analyses indicated that many snoRNA and snRNA genes are inefficiently terminated, but read-through transcripts into downstream ORFs are normally rapidly degraded by the exosome.	
17484880	Martine Heyman	INSERM U793, Paris, France.			T84-intestinal epithelial exosomes bear MHC class II/peptide complexes potentiating antigen presentation by dendritic cells.	Gastroenterology	2007	BACKGROUND & AIMS: Intestinal epithelial cells release antigen-presenting vesicles (exosomes) bearing major histocompatibility complex class II/peptide complexes stimulating specific immune responses in vivo. To characterize further the role of human epithelial exosomes in antigen presentation, their capacity to load antigenic peptides, bind immune target cells, and induce T-cell activation was analyzed in vitro. METHODS: The capacity of exosomes derived from the HLA-DR4-expressing, intestinal epithelial cell line T84 to load the HLA-DR4-specific peptide (3)H-HSA 64-76 and to activate a HLA-DR4-restricted T-cell hybridoma was tested in the presence or absence of human monocyte-derived dendritic cells (DCs). Interaction of fluorescein isothiocyanate-labeled exosomes with T cells and DCs was analyzed by flow cytometry and confocal microscopy. RESULTS: T84-derived exosomes, enriched in CD9, CD81, CD82, and A33 antigen, were capable of binding specifically human serum albumin (HSA) 64-76 peptide on HLA-DR4 molecules and of interacting preferentially with DCs. HSA-loaded exosomes were unable to activate the T-cell hybridoma directly but induced a productive T-cell activation through DCs. When HSA peptide was bound to exosomal HLA-DR4 molecules instead of in a soluble form, the threshold of peptide presentation by DCs was markedly decreased (x10(-3)). CONCLUSIONS: Exosomes released by intestinal epithelial cells bear exogenous peptides complexed to major histocompatibility complex class II molecules and interact preferentially with DCs, strongly potentiating peptide presentation to T cells. Epithelial exosomes constitute a powerful link between luminal antigens and local immune cells by mediating the transfer of tiny amounts of luminal antigenic information and facilitating immune surveillance at mucosal surfaces.	
18021298	Katsuhiko Yanagisawa	Department of Alzheimer's Disease Research, National Institute for Longevity Sciences, National Center for Geriatrics and Gerontology, Obu, Japan.			Accelerated release of exosome-associated GM1 ganglioside (GM1) by endocytic pathway abnormality: another putative pathway for GM1-induced amyloid fibril formation.	J Neurochem	2008	Exosomes are extracellularly released small vesicles that are derived from multivesicular bodies formed via the endocytic pathway. We treated pheochromocytoma PC12 cells with chloroquine, an acidotropic agent, which potently perturbs membrane trafficking from endosomes to lysosomes. Chloroquine treatment increased the level of GM1 ganglioside in cell media only when the cells were exposed to KCl for depolarization, which is known to enhance exosome release from neurons. In the sucrose-density-gradient fractionation of cell media, GM1 ganglioside was exclusively recovered with Alix, a specific marker of exosomes, in the fractions with the density corrresponding to that of exosomes. Notably, amyloid-beta assembly was markedly accelerated when incubated with the exosome fraction prepared from the culture media of PC12 cells treated with chloroquine and KCl. Furthermore, amyloid-beta assembly was significantly suppressed by the co-incubation with an antibody specific to GM1-bound amyloid-beta, an endogenous seed for amyloid formation of Alzheimer's disease. Together with our previous finding that chloroquine treatment induces the accumulation of GM1 ganglioside in early endosomes, results of this study suggest that endocytic pathway abnormality accelerates the release of exosome-associated GM1 ganglioside following its accumulation in early endosomes. Furthermore, this study also suggests that extracellular amyloid fibril formation is induced by not only GM1 gangliosides accumulated on the surface of the cells but also those released in association with exosomes.	
18829542	David M Terrian	Department of Anatomy and Cell Biology and Microbiology and Immunology, Leo W Jenkins Cancer Center, Brody School of Medicine, East Carolina University, Greenville, North Carolina 27834, USA.			Senescence-associated exosome release from human prostate cancer cells.	Cancer Res	2008	Males of advanced age represent a rapidly growing population at risk for prostate cancer. In the contemporary setting of earlier detection, a majority of prostate carcinomas are still clinically localized and often treated using radiation therapy. Our recent studies have shown that premature cellular senescence, rather than apoptosis, accounts for most of the clonogenic death induced by clinically relevant doses of irradiation in prostate cancer cells. We show here that this treatment-induced senescence was associated with a significantly increased release of exosome-like microvesicles. In premature senescence, this novel secretory phenotype was dependent on the activation of p53. In addition, the release of exosome-like microvesicles also increased during proliferative senescence in normal human diploid fibroblasts. These data support the hypothesis that senescence, initiated either by telomere attrition (e.g., aging) or DNA damage (e.g., radiotherapy), may induce a p53-dependent increase in the biogenesis of exosome-like vesicles. Ultrastructural analysis and RNA interference-mediated knockdown of Tsg101 provided significant evidence that the additional exosomes released by prematurely senescent prostate cancer cells were principally derived from multivesicular endosomes. Moreover, these exosomes were enriched in B7-H3 protein, a recently identified diagnostic marker for prostate cancer, and an abundance of what has recently been termed "exosomal shuttle RNA." Our findings are consistent with the proposal that exosomes can transfer cargos, with both immunoregulatory potential and genetic information, between cells through a novel mechanism that may be recruited to increase exosome release during accelerated and replicative cellular senescence.	PMC3845029
19390692	Ai Ling Wang	Forsythe Laboratory for the Investigation of the Aging Retina, Department of Ophthalmology, Northwestern University School of Medicine, Chicago, Illinois, United States of America. 	a-wang@northwestern.edu		Changes in retinal pigment epithelium related to cigarette smoke: possible relevance to smoking as a risk factor for age-related macular degeneration.	PLoS One	2009	Age-related Macular Degeneration (AMD) is a major cause of central vision loss in the elderly and smoking is a primary risk factor associated with the prevalence and incidence of AMD. To better understand the cellular and molecular bases for the association between smoking and AMD, we determined the effects of Benzo(a)Pyrene (B(a)P), a toxic element in cigarette smoke, on cultured retinal pigment epithelia (RPE) and we examined the RPE/choroid from mice exposed to chronic cigarette smoke. We measured: mitochondrial DNA (mtDNA) damage, phagocytic activity, lysosomal enzymes, exosome markers and selected complement pathway components. In the presence of a non-cytotoxic dose of B(a)P, there was extensive mtDNA damage but no nuclear DNA damage. RPE phagocytic activity was not altered but there were increased lysosomal activity, exocytotic activity and complement pathway components. Retinas from mice exposed to cigarette smoke contained markers for mtDNA damage, exosomes and complement pathway components surrounding Bruch's membrane. Markers for these processes are found in drusen from AMD patients. Thus, smoking may cause damage to mtDNA and increased degradative processes in the RPE. These altered cell biological processes in the RPE may contribute to the formation of drusen in individuals who are cigarette smokers and underlie susceptibility to genetic mutations associated with AMD.	PMC2669185
20052414	Viswanathan Palanisamy	Department of Craniofacial Biology, College of Dental Medicine, Medical University of South Carolina, Charleston, South Carolina, United States of America. 	visu@musc.edu		Nanostructural and transcriptomic analyses of human saliva derived exosomes.	PLoS One	2010	BACKGROUND: Exosomes, derived from endocytic membrane vesicles are thought to participate in cell-cell communication and protein and RNA delivery. They are ubiquitous in most body fluids (breast milk, saliva, blood, urine, malignant ascites, amniotic, bronchoalveolar lavage, and synovial fluids). In particular, exosomes secreted in human saliva contain proteins and nucleic acids that could be exploited for diagnostic purposes. To investigate this potential use, we isolated exosomes from human saliva and characterized their structural and transcriptome contents. METHODOLOGY: Exosomes were purified by differential ultracentrifugation and identified by immunoelectron microscopy (EM), flow cytometry, and Western blot with CD63 and Alix antibodies. We then described the morphology, shape, size distribution, and density using atomic force microscopy (AFM). Microarray analysis revealed that 509 mRNA core transcripts are relatively stable and present in the exosomes. Exosomal mRNA stability was determined by detergent lysis with RNase A treatment. In vitro, fluorescently labeled saliva exosomes could communicate with human keratinocytes, transferring their genetic information to human oral keratinocytes to alter gene expression at a new location. CONCLUSION: Our findings are consistent with the hypothesis that exosomes shuttle RNA between cells and that the RNAs present in the exosomes may be a possible resource for disease diagnostics.	PMC2797607
20572937	Jörg Stülke	Department of General Microbiology, Georg-August-University Göttingen, Grisebachstr. 8, D-37077 Göttingen, Germany.			The RNA degradosome in Bacillus subtilis: identification of CshA as the major RNA helicase in the multiprotein complex.	Mol Microbiol	2010	In most organisms, dedicated multiprotein complexes, called exosome or RNA degradosome, carry out RNA degradation and processing. In addition to varying exoribonucleases or endoribonucleases, most of these complexes contain a RNA helicase. In the Gram-positive bacterium Bacillus subtilis, a RNA degradosome has recently been described; however, no RNA helicase was identified. In this work, we tested the interaction of the four DEAD box RNA helicases encoded in the B. subtilis genome with the RNA degradosome components. One of these helicases, CshA, is able to interact with several of the degradosome proteins, i.e. RNase Y, the polynucleotide phosphorylase, and the glycolytic enzymes enolase and phosphofructokinase. The determination of in vivo protein-protein interactions revealed that CshA is indeed present in a complex with polynucleotide phosphorylase. CshA is composed of two RecA-like domains that are found in all DEAD box RNA helicases and a C-terminal domain that is present in some members of this protein family. An analysis of the contribution of the individual domains of CshA revealed that the C-terminal domain is crucial both for dimerization of CshA and for all interactions with components of the RNA degradosome, including RNase Y. A transfer of this domain to CshB allowed the resulting chimeric protein to interact with RNase Y suggesting that this domain confers interaction specificity. As a degradosome component, CshA is present in the cell in similar amounts under all conditions. Taken together, our results suggest that CshA is the functional equivalent of the RhlB helicase of the Escherichia coli RNA degradosome.	
21059916	Nancy Raab-Traub	The Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC 27599, USA.			Human tumor virus utilizes exosomes for intercellular communication.	Proc Natl Acad Sci U S A	2010	The Epstein-Barr virus (EBV) latent membrane protein 1 (LMP1) is expressed in multiple human malignancies and has potent effects on cell growth. It has been detected in exosomes and shown to inhibit immune function. Exosomes are small secreted cellular vesicles that contain proteins, mRNAs, and microRNAs (miRNAs). When produced by malignant cells, they can promote angiogenesis, cell proliferation, tumor-cell invasion, and immune evasion. In this study, exosomes released from nasopharyngeal carcinoma (NPC) cells harboring latent EBV were shown to contain LMP1, signal transduction molecules, and virus-encoded miRNAs. Exposure to these NPC exosomes activated the ERK and AKT signaling pathways in the recipient cells. Interestingly, NPC exosomes also contained viral miRNAs, several of which were enriched in comparison with their intracellular levels. LMP1 induces expression of the EGF receptor in an EBV-negative epithelial cell line, and exosomes produced by these cells also contain high levels of EGF receptor in exosomes. These findings suggest that the effects of EBV and LMP1 on cellular expression also modulate exosome content and properties. The exosomes may manipulate the tumor microenvironment to influence the growth of neighboring cells through the intercellular transfer of LMP1, signaling molecules, and viral miRNAs.	PMC2996715
