PMID	CorrectResults 	Prediction	Title	Haley	Yi Wang	Xiaohuan	Chenwei
9782058	N	N	Structural model of phospholipid-reconstituted human transferrin receptor derived by electron microscopy.	N	N	N	N
12626558	Y	Y	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Y	Y	Y	Y
12694561	N	N	Recycling compartments and the internal vesicles of multivesicular bodies harbor most of the cholesterol found in the endocytic pathway.	N	N	N	N
15989963	N	N	Multiple RNA surveillance pathways limit aberrant expression of iron uptake mRNAs and prevent iron toxicity in S. cerevisiae.	N	N	N	Y
17709486	N	Y	Novel exosome-targeted CD4+ T cell vaccine counteracting CD4+25+ regulatory T cell-mediated immune suppression and stimulating efficient central memory CD8+ CTL responses.	N	N		Y
18538453	N	N	Enhancement of immunostimulatory properties of exosomal vaccines by incorporation of fusion-competent G protein of vesicular stomatitis virus.	N	N		Y
19101547	N	N	Elimination of a bacterial pore-forming toxin by sequential endocytosis and exocytosis.	N	N	N	Y
19801663	N	N	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	N	N	N	N
19903899	N	N	Galectin-5 is bound onto the surface of rat reticulocyte exosomes and modulates vesicle uptake by macrophages.	Y	N	N	N
20020500	N	N	Toll-like receptor 2-mediated peptidoglycan uptake by immature intestinal epithelial cells from apical side and exosome-associated transcellular transcytosis.	N	N	N	N
20124479	Y	Y	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Y	Y	Y	Y
20136776	N	N	Cellular internalization of exosomes occurs through phagocytosis.	N	N	N	N
20881190	Y	Y	Dendritic cells recruit T cell exosomes via exosomal LFA-1 leading to inhibition of CD8+ CTL responses through downregulation of peptide/MHC class I and Fas ligand-mediated cytotoxicity.	Y	Y	Y	Y
21235781	N	N	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	N	N	N	N
21724807	N	N	Intestinal epithelial cell-derived integrin αβ6 plays an important role in the induction of regulatory T cells and inhibits an antigen-specific Th2 response.	N	N	N	Y
22236141	N	N	Differential regulation of acid sphingomyelinase in macrophages stimulated with oxidized low-density lipoprotein (LDL) and oxidized LDL immune complexes: role in phagocytosis and cytokine release.	N	N	N	N
22303002	Y	Y	Sphingolipid-modulated exosome secretion promotes clearance of amyloid-β by microglia.	Y	Y	N	Y
22655043	N	N	Shifting the paradigm: the putative mitochondrial protein ABCB6 resides in the lysosomes of cells and in the plasma membrane of erythrocytes.	N	N	N	N
22723089	N	N	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	N	N	N	N
22915583	N	N	A subunit of eukaryotic translation initiation factor 2α-phosphatase (CreP/PPP1R15B) regulates membrane traffic.	N	N	N	Y
22920859	N	N	Exosomal cell-to-cell transmission of alpha synuclein oligomers.	N	N	N	N
22934045	Y	N	Oncogenic extracellular vesicles in brain tumor progression.	Y	Y	Y	Y
23029346	N	N	Extracellular vesicles from parasitic helminths contain specific excretory/secretory proteins and are internalized in intestinal host cells.	N	N	N	N
23254476	N	N	Dynamics of exosome internalization and trafficking.	N	N	N	N
23508692	N	N	Extracellular vesicles - biomarkers and effectors of the cellular interactome in cancer.	N	N	Y	Y
23596423	N	N	Muscle-enriched microRNA miR-486 decreases in circulation in response to exercise in young men.	N	N	N	N
23785385	N	N	The complexity, function and applications of RNA in circulation.	N	N	N	Y
23913240	N	N	Exosomes as a potential tool for a specific delivery of functional molecules.	N	N	N	N
24058665	Y	Y	Monocyte exosomes stimulate the osteogenic gene expression of mesenchymal stem cells.	Y	Y	Y	Y
24379393	Y	Y	Oncogenic KIT-containing exosomes increase gastrointestinal stromal tumor cell invasion.	Y	Y	Y	Y
24516610	Y	Y	Exosome release and low pH belong to a framework of resistance of human melanoma cells to cisplatin.	Y	N	N	Y
24628247	N	N	Thiophene-based compounds as fluorescent tags to study mesenchymal stem cell uptake and release of taxanes.	N	N	N	N
24667602	N	N	Radiation increases the cellular uptake of exosomes through CD29/CD81 complex formation.	N	N	Y	N
24684244	N	N	Peripheral prion disease pathogenesis is unaltered in the absence of sialoadhesin (Siglec-1/CD169).	N	N	N	N
24780268	Y	Y	Protein polymer nanoparticles engineered as chaperones protect against apoptosis in human retinal pigment epithelial cells.	N	N	Y	Y
24848946	N	N	Determination of exosome concentration in solution using surface plasmon resonance spectroscopy.	N	N	N	N
25066479	N	N	Improved vaccine efficacy of tumor exosome compared to tumor lysate loaded dendritic cells in mice.	N	N		N
25122645	N	N	MicroRNAs are absorbed in biologically meaningful amounts from nutritionally relevant doses of cow milk and affect gene expression in peripheral blood mononuclear cells, HEK-293 kidney cell cultures, and mouse livers.	N	N	N	Y
25135963	N	N	Analysis of the RNA content of the exosomes derived from blood serum and urine and its potential as biomarkers.	N	N	N	N
25194507	Y	Y	Fetuin-A associates with histones intracellularly and shuttles them to exosomes to promote focal adhesion assembly resulting in rapid adhesion and spreading in breast carcinoma cells.	Y	Y	Y	Y
25338648	Y	Y	Exosomes from breast cancer cells stimulate proliferation and inhibit apoptosis of CD133+ cancer cells in vitro.	Y	Y	Y	Y
25342129	N	N	Dysfunctionally phosphorylated type 1 insulin receptor substrate in neural-derived blood exosomes of preclinical Alzheimer's disease.	N	N	Y	N
25426818	N	N	Cancerous epithelial cell lines shed extracellular vesicles with a bimodal size distribution that is sensitive to glutamine inhibition.	N	N	N	N
25483424	Y	Y	Active loading into extracellular vesicles significantly improves the cellular uptake and photodynamic effect of porphyrins.	Y	Y	N	Y
25484190	N	N	Autophagy modulates SNCA/α-synuclein release, thereby generating a hostile microenvironment.	N	N	N	Y
